Mahmud-E Eraqi,Mahmud-E Eraqi,35.01669608,69.33330065,7407,Afghanistan,AF,AFG,Kapisa
Mehtar Lam,Mehtar Lam,34.65000001,70.16670052,17345,Afghanistan,AF,AFG,Laghman
Baraki Barak,Baraki Barak,33.9667021,68.96670354,22305,Afghanistan,AF,AFG,Logar
Zucchelli Station,Terra Nova Bay,-74.61919259,164.2190271,60,Antarctica,AQ,ATA,
Rothera Station,Rothera Station,-67.5647756,-68.12354055,76,Antarctica,AQ,ATA,
Palmer Station,Palmer Station,-64.76241335,-64.0468756,30.5,Antarctica,AQ,ATA,
Base Presidente Montalva,Teniente Rodolfo Marsh Station,-62.18274357,-58.90765233,115,Antarctica,AQ,ATA,
Carlini Station,Teniente Jubany Station,-62.22414386,-58.65047599,40,Antarctica,AQ,ATA,
King Sejong Station,King Sejong Station,-62.2248534,-58.77159876,53.5,Antarctica,AQ,ATA,
Great Wall Station,Great Wall Station,-62.21631997,-58.9666956,26,Antarctica,AQ,ATA,
Escudero Base,Escudero Station,-62.19496251,-58.95266582,20,Antarctica,AQ,ATA,